task_id,ppt_page,ppt_page_title,guide_label,recommended_image,role_in_slide,source_refs,source_reference_text,doi_or_link,source_locator,document_position,image_content_description,usage_suggestion,caption_suggestion,source_type,recommended_action,automation_method,manual_review,priority,preferred_output_ext,primary_output_basename,candidate_output_pattern,missing_placeholder_pattern,notes_for_codex
P01-A,1,标题页,A,阿司匹林二维结构式,作为标题页视觉中心，快速建立研究对象,1,"文献[1] National Center for Biotechnology Information, Aspirin，PubChem Compound Summary",PubChem CID 2244,R01_CID2244,PubChem 条目主页面，图号不适用,阿司匹林二维结构、分子式、同义名,据数据库重绘，不要直接截整页,结构式据文献[1]重绘,pubchem_api,redraw_from_database,"Use PubChem PUG-REST to fetch SMILES/SDF for CID 2244, redraw with RDKit as clean 2D structure; do not screenshot PubChem page.",No,Medium,"svg,png",P01-A__aspirin_2d_structure__R01_CID2244__redraw_from_database,P01-A__aspirin_2d_structure__R01_CID2244__redraw_from_database__candidateNN.{ext},P01-A__aspirin_2d_structure__R01_CID2244__MISSING_NEEDS_REVIEW.txt,"If source cannot be accessed or figure cannot be located, create the missing placeholder and continue with remaining tasks."
P01-B,1,标题页,B,阿司匹林历史/应用概念小图,强调阿司匹林是经典药物、选题有代表性,3,文献[3] Patrono C. Aspirin: 1A @ 125,10.1093/eurheartj/ehac416,R03_history_1897_125years,正文首页；具体插图需打开 PDF 后核实,若文中无合适图片，建议只提取“1897”“125 years”等历史信息自绘时间标识,自己绘制时间标签，不要依赖无来源网络配图,历史信息据文献[3]整理,doi_pdf_or_article,self_draw_concept_label,Use literature facts only; create a clean time label or badge with '1897' and '125 years'. Do not use unrelated web images.,Recommended,Low,"svg,png",P01-B__aspirin_history_125_year_tag__R03_history_1897_125years__self_draw_concept_label,P01-B__aspirin_history_125_year_tag__R03_history_1897_125years__self_draw_concept_label__candidateNN.{ext},P01-B__aspirin_history_125_year_tag__R03_history_1897_125years__MISSING_NEEDS_REVIEW.txt,"If source cannot be accessed or figure cannot be located, create the missing placeholder and continue with remaining tasks."
P02-A,2,研究对象与反应本质,A,水杨酸与阿司匹林结构对比图,一眼看出“多了一个乙酰基”,"1,2",文献[1] PubChem；文献[2] Aspirin,PubChem CID 2244；10.1016/S0099-5428(08)60112-4,R01_R02_structures,PubChem 条目主页面；文献[2]“synthesis”部分,水杨酸与阿司匹林二维结构,自己重绘，统一字体和键线风格,结构数据据文献[1][2]重绘,pubchem_api_plus_literature,redraw_chemical_comparison,"Fetch aspirin CID 2244 and salicylic acid by name from PubChem; redraw both structures with uniform RDKit style, label acetyl group difference.",No,High,"svg,png",P02-A__salicylic_acid_vs_aspirin_structures__R01_R02_structures__redraw_chemical_comparison,P02-A__salicylic_acid_vs_aspirin_structures__R01_R02_structures__redraw_chemical_comparison__candidateNN.{ext},P02-A__salicylic_acid_vs_aspirin_structures__R01_R02_structures__MISSING_NEEDS_REVIEW.txt,"If source cannot be accessed or figure cannot be located, create the missing placeholder and continue with remaining tasks."
P02-B,2,研究对象与反应本质,B,核心反应式示意图,把后续所有方法统一到同一反应本质,"2,4","文献[2] Florey, Aspirin；文献[4] J. Chem. Educ. 教学实验文献",10.1016/S0099-5428(08)60112-4；10.1021/ed050p214,R02_R04_reaction,文献[2] synthesis section；文献[4] 反应式所在页码需打开 PDF 后核实,水杨酸与乙酸酐生成乙酰水杨酸,自己绘制反应路线图,反应式据文献[2][4]绘制,literature_redraw,draw_reaction_scheme,Draw salicylic acid + acetic anhydride -> acetylsalicylic acid + acetic acid using RDKit structures and a reaction arrow; cite refs 2 and 4.,No,High,"svg,png",P02-B__core_acetylation_reaction_scheme__R02_R04_reaction__draw_reaction_scheme,P02-B__core_acetylation_reaction_scheme__R02_R04_reaction__draw_reaction_scheme__candidateNN.{ext},P02-B__core_acetylation_reaction_scheme__R02_R04_reaction__MISSING_NEEDS_REVIEW.txt,"If source cannot be accessed or figure cannot be located, create the missing placeholder and continue with remaining tasks."
P03-A,3,经典合成路线,A,经典教学实验流程图,把“加料—加热—加水—冷却—抽滤—重结晶”讲清楚,"4,5","文献[4] Dobado, Journal of Chemical Education；文献[5] Nel et al., Journal of Chemical Education",10.1021/ed050p214；10.1021/acs.jchemed.2c00503,R04_R05_flow_steps,文献[4] 具体图号需打开 PDF 后核实；文献[5] 文章中的装置/流程图图号需核实,教学实验步骤或自动化装置流程,据文献重绘成中文流程图,流程据文献[4][5]整理并重绘,literature_synthesis,draw_flowchart_from_text,Create a Chinese flowchart: add reagents -> heat -> add water -> cool -> vacuum filter -> recrystallize; use refs 4 and 5 as sources.,Recommended,High,"svg,png",P03-A__classic_teaching_experiment_flowchart__R04_R05_flow_steps__draw_flowchart_from_text,P03-A__classic_teaching_experiment_flowchart__R04_R05_flow_steps__draw_flowchart_from_text__candidateNN.{ext},P03-A__classic_teaching_experiment_flowchart__R04_R05_flow_steps__MISSING_NEEDS_REVIEW.txt,"If source cannot be accessed or figure cannot be located, create the missing placeholder and continue with remaining tasks."
P03-B,3,经典合成路线,B,自动化阿司匹林实验装置图,作为“经典路线也能现代化教学”的补充亮点,5,"文献[5] Nel et al., The Automated Synthesis of Aspirin",10.1021/acs.jchemed.2c00503,R05_device_fig_unknown,文章中的实验装置图；图号需打开 PDF 后核实,自动化滴加/搅拌/控制模块装置,可截图引用，也可简化重绘,图源:文献[5]，具体 Fig. 号待核实,doi_pdf,pdf_extract_or_redraw,"Try to obtain/access Ref 5 PDF. Locate device/apparatus figure; export crop as candidate. If not found or inaccessible, create simplified device schematic and mark as REDRAW.",Yes,Medium,"png,svg",P03-B__automated_aspirin_device__R05_device_fig_unknown__pdf_extract_or_redraw,P03-B__automated_aspirin_device__R05_device_fig_unknown__pdf_extract_or_redraw__candidateNN.{ext},P03-B__automated_aspirin_device__R05_device_fig_unknown__MISSING_NEEDS_REVIEW.txt,"If source cannot be accessed or figure cannot be located, create the missing placeholder and continue with remaining tasks."
P04-A,4,传统方法的问题,A,传统路线问题鱼骨图,把“腐蚀、刺激性、水解、副产物、三废”一页讲清,"2,22,23","文献[2] Florey, Aspirin；文献[22] Acetyl chloride, PubChem；文献[23] Acetic Anhydride Safety Data Sheet",10.1016/S0099-5428(08)60112-4；PubChem CID 6367；SDS 文献无 DOI,R02_R22_R23_risk,文献[2] synthesis section；文献[22] compound summary 主页面；文献[23] 第 5/13、7/13 页,建议自绘，把问题分成“安全”“环保”“副反应”“操作”,自己绘制，不要堆太多原始截图,根据文献[2][22][23]归纳,literature_safety_synthesis,draw_risk_diagram,"Draw a fishbone or quadrant diagram with Safety/Environment/Side reactions/Operation using refs 2, 22, 23.",Recommended,Medium,"svg,png",P04-A__traditional_route_risk_fishbone__R02_R22_R23_risk__draw_risk_diagram,P04-A__traditional_route_risk_fishbone__R02_R22_R23_risk__draw_risk_diagram__candidateNN.{ext},P04-A__traditional_route_risk_fishbone__R02_R22_R23_risk__MISSING_NEEDS_REVIEW.txt,"If source cannot be accessed or figure cannot be located, create the missing placeholder and continue with remaining tasks."
P04-B,4,传统方法的问题,B,乙酸酐官方 SDS 页面局部,强调乙酸酐的刺激性、腐蚀性和通风要求,23,文献[23] Acetic Anhydride Safety Data Sheet,无 DOI,R23_SDS_p5_p7,第 5/13 页（暴露控制），第 7/13 页（刺激/腐蚀信息）,PPE、刺激性、腐蚀性、职业暴露限制,优先截图局部，或据其信息重绘警示图标,安全信息据文献[23]第5–7页整理,sds_pdf_or_manual,crop_or_redraw_sds_warning,"Use provided/downloaded SDS if available. Crop only PPE/exposure/toxicity local region from pages 5 and/or 7, or redraw warning icons from SDS text.",Yes,Medium,"png,svg",P04-B__acetic_anhydride_sds_local_crop__R23_SDS_p5_p7__crop_or_redraw_sds_warning,P04-B__acetic_anhydride_sds_local_crop__R23_SDS_p5_p7__crop_or_redraw_sds_warning__candidateNN.{ext},P04-B__acetic_anhydride_sds_local_crop__R23_SDS_p5_p7__MISSING_NEEDS_REVIEW.txt,"If source cannot be accessed or figure cannot be located, create the missing placeholder and continue with remaining tasks."
P05-A,5,绿色改进一——固体酸 / 可回收催化剂,A,固体酸催化阿司匹林的代表数据柱状图,把不同固体酸的代表产率放在一张图上，视觉上最有说服力,"7,8,9,10",文献[7][8][9][10],10.1002/jccs.200700146；10.1016/j.cej.2011.09.010；10.1016/j.molcata.2009.10.019；10.1016/j.inoche.2021.109100,R07_R08_R09_R10_yield_chart,文献[9] Table 2 提到不同固体酸产率；其余文献具体图表页码需打开 PDF 后核实,Preyssler、WO3/ZrO2、纳米硫酸化氧化锆、POM 超分子催化剂的代表收率,最推荐自己作图,据文献[7]-[10]整理并绘制,multi_doi_data,plot_bar_chart_from_extracted_values,"Extract representative yields from refs 7-10, especially Ref 9 Table 2. Plot a clean Chinese bar chart; include source values in manifest.",Yes,High,"svg,png",P05-A__solid_acid_yield_bar_chart__R07_R08_R09_R10_yield_chart__plot_bar_chart_from_extracted_values,P05-A__solid_acid_yield_bar_chart__R07_R08_R09_R10_yield_chart__plot_bar_chart_from_extracted_values__candidateNN.{ext},P05-A__solid_acid_yield_bar_chart__R07_R08_R09_R10_yield_chart__MISSING_NEEDS_REVIEW.txt,"If source cannot be accessed or figure cannot be located, create the missing placeholder and continue with remaining tasks."
P05-B,5,绿色改进一——固体酸 / 可回收催化剂,B,固体酸催化剂结构/示意图,让“杂多酸”“固体超强酸”不只是抽象名词,"6,8,10",文献[6] Peng & Song；文献[8] Zhang et al.；文献[10] Zhang et al.,10.1007/s00897000384a；10.1016/j.cej.2011.09.010；10.1016/j.inoche.2021.109100,R06_R08_R10_catalyst_schematic,相关 Scheme/Figure 需核实；文献[10] 可优先查 catalyst structure Figure，具体图号需核实,杂多酸阴离子或氧化物催化剂示意,据文献重绘简化结构,催化剂示意据文献[6][8][10]重绘,multi_doi_redraw,redraw_catalyst_schematic,Redraw simplified heteropolyacid / WO3-ZrO2 / POM catalyst concept; avoid copying complex original figures if unclear.,Yes,Low,"svg,png",P05-B__solid_acid_catalyst_schematic__R06_R08_R10_catalyst_schematic__redraw_catalyst_schematic,P05-B__solid_acid_catalyst_schematic__R06_R08_R10_catalyst_schematic__redraw_catalyst_schematic__candidateNN.{ext},P05-B__solid_acid_catalyst_schematic__R06_R08_R10_catalyst_schematic__MISSING_NEEDS_REVIEW.txt,"If source cannot be accessed or figure cannot be located, create the missing placeholder and continue with remaining tasks."
